Route Key,Making glue but everything that could go wrong Goes Wrong,,,,
37,,Carlos,Neutral,"Nah, you got this. Just try! It'll be like riding a bike.",
38,,,,"If there was an X button in the game, you would press it to Doubt. However, you get options instead.",Rembr flute skills / Forgor flute skills
39,Rembr flute skills,,,You feel your braincells multiply.,
40,Rembr flute skills,,,It's happening.,
41,Rembr flute skills,,,You're...,
42,Rembr flute skills,,,Rembring!!!!,
43,Rembr flute skills,,,You ready your flute and play your first note. Any doubt you had previously dissipates as you realize Carlos was right.,
44,Rembr flute skills,,,You had flute skills this entire time! All you had to do was believe in the heart of your instrument.,
45,Rembr flute skills,,,"You freestyle the most beautiful melody. Completely possessed by the flute in your hands, you let it all out, translating its soul to the language everyone speaks - music.",
46,Rembr flute skills,,,"Mike and Carlos stand slackjaw in awe, witnessing the pure passion of your flute playing.",
47,Rembr flute skills,,,"When you reach the end, you know you've just made your magnum opus as a flute player.",
48,Rembr flute skills,,,"After a beat of silence, your friends cheer.",
49,Rembr flute skills,Carlos,Happy,Yeaaahhh! Quinoaaaa!!,
50,Rembr flute skills,Mike,Happy,Wooooooo!,
51,Rembr flute skills,Mike,Happy,Since when did you know how to play like that?,
52,Rembr flute skills,You,,No clue. It just kinda happened.,
53,Rembr flute skills,Carlos,Happy,And to think you doubted me. That was perfect.,
54,Rembr flute skills,Carlos,Neutral,... Perfect.,
55,Rembr flute skills,Carlos,Sad,It was perfect...,
56,Rembr flute skills,You,,Uh... Is that bad?,
57,Rembr flute skills,Mike,Neutral,"Bro, you okay?",
58,Rembr flute skills,Carlos,Sad,"No, bro, it was perfect but it wasn't GLUE!",
59,Rembr flute skills,Carlos,Angry,IT AIN'T GLUE.,
60,Rembr flute skills,Mike,Neutral,"No, no, hold on, we can still work with this though.",
61,Rembr flute skills,,,"Mike replays your flute solo and records his vocals over it, his wavy singing voice going off-key.",
62,Rembr flute skills,,,"You chime in with your own mouth noises, throwing in the occasional beatbox for good measure.",
63,Rembr flute skills,Carlos,Neutral,"Okay, okay... Actually, this works. We can do this. Let me just save super quick.",
39,Forgor flute skills,,,"You call forth braincells, searching for the one with flute skills. Three approach you. Each one holds crocheting, twink ranking, and pretty pink women respectively. ",
40,,,,None of these are flute skills. You ask where the flute skills are. They respond that they tossed it to make room for Claude. Valid.,
41,,,,The first note you play is awful. God. Awful.,
42,,,,You watch Carlos and Mike visibly cringe at whatever the fuck sort of sound you managed to create. Are flutes suppose to sound like this? ,
43,,,,"You finally reach the end, feeling relief in the silence. ",
44,,Mike,Neutral,"Well, that was awful.",
45,,You,,It was.,
46,,Carlos,Neutral,Very. Very bad.,
47,,Carlos,Happy,But perfect for what we're trying to do here!,
48,,Carlos,Neutral,"That was some perfect glue you just made, Quinoa",
49,,You,,Really?,
50,,Carlos,Neutral,"Yes, we are one step closer to ending this glue overload of suffering.",
51,,Mike,Happy,"You think you got it, bro?",
52,,Carlos,Neutral,"Oh, yes. Get your sound on there, brother.",
53,,,,Mike records his signature wavy singing with an occassional mouth noise sprinkled in there.,
54,,,,"Everything slowly starts coming together until you are all left with perfectly authentic, mindnumbing glue music.",
55,,,,Wiwum would be proud. You wonder what flavor he would dub it.,
56,,Carlos,Happy,"Dude, I think we got it.",
57,,Mike,Happy,Holy shit.,
58,,You,,We did it!,
64,,,,Carlos hits the save button.,
65,,,,You all watch the percentage grow to 98%.,
66,,,,And stay at 98%.,
67,,You,,... Should we be concerned?,
68,,Carlos,Neutral,"No, of course not.",
69,,Mike,Angry,Why would you say that?,
70,,Carlos,Angry,"Get that negativity out of here, Quinoa.",
71,,You,,"Sorry, sorry, I take it back.",
72,,,,It climbs to 99%.,
73,,Mike,Happy,Woah!,
74,,Carlos,Happy,"Oh, shit!",
75,,Mike,Sad,"Damn, Quinoa, it really was your negativity.",
76,,Carlos,Sad,"You prayin' on our downfall, Quinoa?",
77,,You,,What? No!,
78,,,,"Suddenly, Carlos' PC shuts off. The room is enveloped in darkness, literally and metaphorically.",
79,,Carlos,Neutral,...,
80,,Mike,Neutral,...,
81,,You,,...,
82,,Mike,Neutral,"Did you eat hot chip today, Quinoa?",
83,,You,,... Maybe.,
84,,Carlos,Angry,AAAAAAAAHHHHHHHHHHHHHHH!!!,
85,,,,Mike and Carlos act quickly to reboot the PC and pray to every God possibly out there that all your guys' hard work managed to save in time.,
86,,,,"Your left by yourself for a moment, watching the chaos unfold, when you see Misha approach you, having awoken from her nap due to Carlos' sudden outburst.",
87,,,,"She looks up at you with those big hopeful puppy eyes that just scream, ""Pet, pet, pet.""",Pet Gently / Pet Petly
88,Pet Gently,,,"Entranced, you give her a gentle pat on the head.",
88,Pet Petly,,,"Entranced, you give her a little scratch under her chin.",
89,,,,"You continue giving her pets, amping up her happy but unknowingly revving up her excitement.",
90,,,,"She jumps around cutely, unable to contain herself, before jumping on the floor.",
91,,Carlos,Angry,"The shits not opening, Mike!",
92,,Mike,Angry,"Hold on, what if we -",
93,,,,"The PC shuts off again. However, instead of silence, the sound of a gentle stream fills the room.",
94,,,,"You all look at Misha who is squated near the PC, a pool of pee expanding below her.",
95,,,,"You feel this might be a bit of your fault, especially when Carlos turns his head toward you, seeing you in mid-pet position before Misha deserted you.",
96,,Carlos,Angry,QUINOOOAAAAAA!,
