67,,,,You wonder if an anvil is gonna fall from the sky now. Or maybe you'll get that classic banana peel slip.,
68,,MF,Angry,What the fu-,
69,,,,"As if on cue, you watch the MF slip on a stray yolk on the floor. Done in by his own fallen soldier.",
70,,,,"As John falls, so does the cake. It goes flying in the air. All eyes witnessing the fall of man, of God, of CAKE, as gravity takes hold of the delectable treat.",
71,,,,The cake hits the ground in front of John with a resounding SPLAT.,
72,,MF,Sad,My little treat...,
73,,Wiwum,Sad,My breakfast...,
74,,,,The silence is so loud.,
75,,,,John slowly gets up and turns to face William.,
76,,MF,Neutral,"So, um... Truce?",
77,,Wiwum,Neutral,...,
78,,MF,Neutral,Wiwum?,
79,,Wiwum,Neutral,...,
80,,MF,Sad,"Truce, Wiwum...?",
81,,Wiwum,Neutral,...,
82,,Wiwum,Angry,...,
83,,MF,Sad,AAAAAHHHHHHHHHHH!!!,
84,,,,...,
85,,,,"Wiwum-4, MF-0.",
86,,,,You decide it best to let the boys set aside their differences themselves and hightail it out of there and go back home. ,
